rounds,walkers,tourney,date,DOW
141.0,60.0,0.0,2013-03-10,6
131.0,0.0,131.0,2013-03-11,0
75.0,29.0,0.0,2013-03-12,1
60.0,20.0,0.0,2013-03-13,2
113.0,7.0,84.0,2013-03-14,3
118.0,40.0,0.0,2013-03-15,4
124.0,58.0,0.0,2013-03-16,5
108.0,41.0,0.0,2013-03-17,6
0.0,0.0,0.0,2013-03-18,0
55.0,28.0,0.0,2013-03-19,1
11.0,7.0,0.0,2013-03-20,2
62.0,19.0,0.0,2013-03-21,3
104.0,36.0,0.0,2013-03-22,4
114.0,42.0,0.0,2013-03-23,5
118.0,35.0,0.0,2013-03-24,6
0.0,0.0,0.0,2013-03-25,0
70.0,35.0,0.0,2013-03-26,1
50.0,15.0,0.0,2013-03-27,2
59.0,9.0,30.0,2013-03-28,3
139.0,49.0,0.0,2013-03-29,4
124.0,33.0,0.0,2013-03-30,5
43.0,22.0,0.0,2013-03-31,6
0.0,0.0,0.0,2013-04-01,0
68.0,19.0,0.0,2013-04-02,1
103.0,29.0,0.0,2013-04-03,2
19.0,6.0,0.0,2013-04-04,3
117.0,37.0,0.0,2013-04-05,4
117.0,43.0,0.0,2013-04-06,5
142.0,41.0,0.0,2013-04-07,6
0.0,0.0,0.0,2013-04-08,0
91.0,37.0,12.0,2013-04-09,1
108.0,15.0,43.0,2013-04-10,2
118.0,23.0,62.0,2013-04-11,3
109.0,30.0,60.0,2013-04-12,4
100.0,21.0,60.0,2013-04-13,5
122.0,39.0,0.0,2013-04-14,6
90.0,0.0,90.0,2013-04-15,0
52.0,21.0,0.0,2013-04-16,1
77.0,6.0,0.0,2013-04-17,2
93.0,19.0,0.0,2013-04-18,3
117.0,43.0,0.0,2013-04-19,4
162.0,9.0,128.0,2013-04-20,5
177.0,11.0,128.0,2013-04-21,6
0.0,0.0,0.0,2013-04-22,0
78.0,28.0,0.0,2013-04-23,1
59.0,14.0,0.0,2013-04-24,2
71.0,13.0,0.0,2013-04-25,3
127.0,43.0,0.0,2013-04-26,4
161.0,35.0,80.0,2013-04-27,5
151.0,43.0,0.0,2013-04-28,6
69.0,0.0,69.0,2013-04-29,0
96.0,27.0,0.0,2013-04-30,1
79.0,9.0,0.0,2013-05-01,2
107.0,12.0,51.0,2013-05-02,3
119.0,32.0,0.0,2013-05-03,4
169.0,29.0,46.0,2013-05-04,5
125.0,44.0,0.0,2013-05-05,6
130.0,0.0,130.0,2013-05-06,0
142.0,0.0,130.0,2013-05-07,1
60.0,15.0,0.0,2013-05-08,2
77.0,22.0,0.0,2013-05-09,3
145.0,39.0,0.0,2013-05-10,4
131.0,52.0,0.0,2013-05-11,5
96.0,21.0,0.0,2013-05-12,6
154.0,0.0,154.0,2013-05-13,0
85.0,23.0,0.0,2013-05-14,1
80.0,13.0,0.0,2013-05-15,2
101.0,33.0,16.0,2013-05-16,3
161.0,29.0,0.0,2013-05-17,4
